horizon,future_timepoint,distance,delay,t,future_timepoint_numeric
3,2011-07-01,2.316197395324707,0.0,1,2011.5
3,2011-10-01,6.236601829528809,0.0,2,2011.75
3,2012-01-01,2.7730724811553955,0.0,3,2012.0
3,2012-04-01,2.496685028076172,0.0,4,2012.25
3,2012-07-01,2.718522548675537,0.0,5,2012.5
3,2012-10-01,2.474194526672364,0.0,6,2012.75
3,2013-01-01,2.642265558242798,0.0,7,2013.0
3,2013-04-01,3.2328693866729736,0.0,8,2013.25
3,2013-07-01,1.9542158842086792,0.0,9,2013.5
3,2013-10-01,1.783024787902832,0.0,10,2013.75
3,2014-01-01,1.717072367668152,0.0,11,2014.0
3,2014-04-01,2.0786032676696777,0.0,12,2014.25
3,2014-07-01,2.144156217575073,0.0,13,2014.5
3,2014-10-01,2.2157371044158936,0.0,14,2014.75
3,2015-01-01,2.5870327949523926,0.0,15,2015.0
3,2015-04-01,3.3659162521362305,0.0,16,2015.25
3,2015-07-01,2.2247860431671143,0.0,17,2015.5
3,2015-10-01,1.8972688913345337,0.0,18,2015.75
3,2016-01-01,1.855151891708374,0.0,19,2016.0
3,2016-04-01,2.708824396133423,0.0,20,2016.25
3,2016-07-01,2.2072553634643555,0.0,21,2016.5
3,2016-10-01,2.593088150024414,0.0,22,2016.75
3,2017-01-01,2.465358018875122,0.0,23,2017.0
3,2017-04-01,2.950855731964112,0.0,24,2017.25
3,2017-07-01,2.9507715702056885,0.0,25,2017.5
3,2017-10-01,3.1997196674346924,0.0,26,2017.75
3,2018-01-01,2.827892780303955,0.0,27,2018.0
3,2018-04-01,3.472227096557617,0.0,28,2018.25
3,2018-07-01,2.8621535301208496,0.0,29,2018.5
3,2018-10-01,4.206661224365234,0.0,30,2018.75
3,2019-01-01,4.92238187789917,0.0,31,2019.0
3,2019-04-01,4.05315637588501,0.0,32,2019.25
3,2019-07-01,3.1132216453552246,0.0,33,2019.5
3,2019-10-01,3.9000070095062256,0.0,34,2019.75
3,2011-07-01,2.363454341888428,1.0,1,2011.5
3,2011-10-01,6.442071437835693,1.0,2,2011.75
3,2012-01-01,2.7765886783599854,1.0,3,2012.0
3,2012-04-01,2.487301111221313,1.0,4,2012.25
3,2012-07-01,2.8228375911712646,1.0,5,2012.5
3,2012-10-01,2.623015880584717,1.0,6,2012.75
3,2013-01-01,2.592093706130981,1.0,7,2013.0
3,2013-04-01,3.2931954860687256,1.0,8,2013.25
3,2013-07-01,2.0124356746673584,1.0,9,2013.5
3,2013-10-01,1.821122646331787,1.0,10,2013.75
3,2014-01-01,1.7428817749023438,1.0,11,2014.0
3,2014-04-01,2.073775053024292,1.0,12,2014.25
3,2014-07-01,2.272804021835327,1.0,13,2014.5
3,2014-10-01,2.468898296356201,1.0,14,2014.75
3,2015-01-01,2.59519100189209,1.0,15,2015.0
3,2015-04-01,3.4558773040771484,1.0,16,2015.25
3,2015-07-01,2.1617074012756348,1.0,17,2015.5
3,2015-10-01,1.9054780006408687,1.0,18,2015.75
3,2016-01-01,1.8881003856658936,1.0,19,2016.0
3,2016-04-01,2.810462713241577,1.0,20,2016.25
3,2016-07-01,2.355579376220703,1.0,21,2016.5
3,2016-10-01,2.57413387298584,1.0,22,2016.75
3,2017-01-01,2.506307601928711,1.0,23,2017.0
3,2017-04-01,3.1618428230285645,1.0,24,2017.25
3,2017-07-01,2.9763545989990234,1.0,25,2017.5
3,2017-10-01,3.325216054916382,1.0,26,2017.75
3,2018-01-01,2.963488817214966,1.0,27,2018.0
3,2018-04-01,3.436293363571167,1.0,28,2018.25
3,2018-07-01,2.9999539852142334,1.0,29,2018.5
3,2018-10-01,4.234119892120361,1.0,30,2018.75
3,2019-01-01,5.03662633895874,1.0,31,2019.0
3,2019-04-01,4.200920104980469,1.0,32,2019.25
3,2019-07-01,3.238590955734253,1.0,33,2019.5
3,2019-10-01,3.865479230880737,1.0,34,2019.75
3,2011-07-01,2.9633209705352783,3.0,1,2011.5
3,2011-10-01,6.316744804382324,3.0,2,2011.75
3,2012-01-01,4.348025798797607,3.0,3,2012.0
3,2012-04-01,4.246381759643555,3.0,4,2012.25
3,2012-07-01,3.519093990325928,3.0,5,2012.5
3,2012-10-01,4.023725986480713,3.0,6,2012.75
3,2013-01-01,3.0262980461120605,3.0,7,2013.0
3,2013-04-01,2.956341028213501,3.0,8,2013.25
3,2013-07-01,1.927400827407837,3.0,9,2013.5
3,2013-10-01,1.9581626653671265,3.0,10,2013.75
3,2014-01-01,2.1553399562835693,3.0,11,2014.0
3,2014-04-01,2.172415971755981,3.0,12,2014.25
3,2014-07-01,3.14130973815918,3.0,13,2014.5
3,2014-10-01,3.4620132446289062,3.0,14,2014.75
3,2015-01-01,2.865403413772583,3.0,15,2015.0
3,2015-04-01,3.9718267917633057,3.0,16,2015.25
3,2015-07-01,2.9219470024108887,3.0,17,2015.5
3,2015-10-01,2.595038890838623,3.0,18,2015.75
3,2016-01-01,2.4528281688690186,3.0,19,2016.0
3,2016-04-01,2.975365161895752,3.0,20,2016.25
3,2016-07-01,2.7672603130340576,3.0,21,2016.5
3,2016-10-01,3.0104992389678955,3.0,22,2016.75
3,2017-01-01,2.562380313873291,3.0,23,2017.0
3,2017-04-01,3.579175472259521,3.0,24,2017.25
3,2017-07-01,3.2359490394592285,3.0,25,2017.5
3,2017-10-01,4.04258394241333,3.0,26,2017.75
3,2018-01-01,3.20690655708313,3.0,27,2018.0
3,2018-04-01,2.1873936653137207,3.0,28,2018.25
3,2018-07-01,2.964630126953125,3.0,29,2018.5
3,2018-10-01,4.391736507415772,3.0,30,2018.75
3,2019-01-01,6.640529632568359,3.0,31,2019.0
3,2019-04-01,4.875503540039063,3.0,32,2019.25
3,2019-07-01,3.125937223434448,3.0,33,2019.5
3,2019-10-01,4.035091400146484,3.0,34,2019.75
6,2011-10-01,6.191540718078613,0.0,2,2011.75
6,2012-01-01,7.342206954956055,0.0,3,2012.0
6,2012-04-01,3.551882743835449,0.0,4,2012.25
6,2012-07-01,2.250732898712158,0.0,5,2012.5
6,2012-10-01,3.347266912460327,0.0,6,2012.75
6,2013-01-01,4.25110387802124,0.0,7,2013.0
6,2013-04-01,3.87081527709961,0.0,8,2013.25
6,2013-07-01,3.435579299926758,0.0,9,2013.5
6,2013-10-01,2.373915910720825,0.0,10,2013.75
6,2014-01-01,2.353462219238281,0.0,11,2014.0
6,2014-04-01,2.716212272644043,0.0,12,2014.25
6,2014-07-01,3.4101574420928955,0.0,13,2014.5
6,2014-10-01,3.1180102825164795,0.0,14,2014.75
6,2015-01-01,3.501594305038452,0.0,15,2015.0
6,2015-04-01,5.81784725189209,0.0,16,2015.25
6,2015-07-01,4.075259208679199,0.0,17,2015.5
6,2015-10-01,2.5127205848693848,0.0,18,2015.75
6,2016-01-01,2.4982364177703857,0.0,19,2016.0
6,2016-04-01,3.2375965118408203,0.0,20,2016.25
6,2016-07-01,3.9837393760681152,0.0,21,2016.5
6,2016-10-01,3.089745044708252,0.0,22,2016.75
6,2017-01-01,3.880370616912842,0.0,23,2017.0
6,2017-04-01,5.155217170715332,0.0,24,2017.25
6,2017-07-01,4.063221454620361,0.0,25,2017.5
6,2017-10-01,5.3952717781066895,0.0,26,2017.75
6,2018-01-01,5.60465145111084,0.0,27,2018.0
6,2018-04-01,3.526662349700928,0.0,28,2018.25
6,2018-07-01,5.692586898803711,0.0,29,2018.5
6,2018-10-01,4.04355525970459,0.0,30,2018.75
6,2019-01-01,7.137854099273682,0.0,31,2019.0
6,2019-04-01,8.19659423828125,0.0,32,2019.25
6,2019-07-01,5.520649433135986,0.0,33,2019.5
6,2019-10-01,5.633040428161621,0.0,34,2019.75
6,2011-10-01,6.213605880737305,1.0,2,2011.75
6,2012-01-01,7.764812469482422,1.0,3,2012.0
6,2012-04-01,3.564965009689331,1.0,4,2012.25
6,2012-07-01,2.231256484985352,1.0,5,2012.5
6,2012-10-01,3.56441330909729,1.0,6,2012.75
6,2013-01-01,4.4537200927734375,1.0,7,2013.0
6,2013-04-01,4.140922546386719,1.0,8,2013.25
6,2013-07-01,3.645966291427612,1.0,9,2013.5
6,2013-10-01,2.488002061843872,1.0,10,2013.75
6,2014-01-01,2.4106225967407227,1.0,11,2014.0
6,2014-04-01,2.77024245262146,1.0,12,2014.25
6,2014-07-01,3.412919759750366,1.0,13,2014.5
6,2014-10-01,3.563608407974243,1.0,14,2014.75
6,2015-01-01,3.6333820819854736,1.0,15,2015.0
6,2015-04-01,5.877618312835693,1.0,16,2015.25
6,2015-07-01,4.268099308013916,1.0,17,2015.5
6,2015-10-01,2.3940353393554688,1.0,18,2015.75
6,2016-01-01,2.5872905254364014,1.0,19,2016.0
6,2016-04-01,3.0354745388031006,1.0,20,2016.25
6,2016-07-01,4.196660995483398,1.0,21,2016.5
6,2016-10-01,3.35622239112854,1.0,22,2016.75
6,2017-01-01,3.780593156814575,1.0,23,2017.0
6,2017-04-01,5.223129749298096,1.0,24,2017.25
6,2017-07-01,4.030345439910889,1.0,25,2017.5
6,2017-10-01,5.447124481201172,1.0,26,2017.75
6,2018-01-01,5.646071434020996,1.0,27,2018.0
6,2018-04-01,3.485032796859741,1.0,28,2018.25
6,2018-07-01,5.663434505462647,1.0,29,2018.5
6,2018-10-01,3.810567140579224,1.0,30,2018.75
6,2019-01-01,7.224894523620605,1.0,31,2019.0
6,2019-04-01,8.24609088897705,1.0,32,2019.25
6,2019-07-01,5.654967308044434,1.0,33,2019.5
6,2019-10-01,5.984846591949463,1.0,34,2019.75
6,2011-10-01,6.737152099609375,3.0,2,2011.75
6,2012-01-01,7.48618221282959,3.0,3,2012.0
6,2012-04-01,5.397878170013428,3.0,4,2012.25
6,2012-07-01,4.376980781555176,3.0,5,2012.5
6,2012-10-01,4.371624946594238,3.0,6,2012.75
6,2013-01-01,5.538466930389404,3.0,7,2013.0
6,2013-04-01,3.193112850189209,3.0,8,2013.25
6,2013-07-01,3.34405517578125,3.0,9,2013.5
6,2013-10-01,2.14180850982666,3.0,10,2013.75
6,2014-01-01,2.226431131362915,3.0,11,2014.0
6,2014-04-01,3.1497342586517334,3.0,12,2014.25
6,2014-07-01,3.322629451751709,3.0,13,2014.5
6,2014-10-01,4.533660411834717,3.0,14,2014.75
6,2015-01-01,4.97714376449585,3.0,15,2015.0
6,2015-04-01,5.379233360290527,3.0,16,2015.25
6,2015-07-01,4.763199329376221,3.0,17,2015.5
6,2015-10-01,2.980885505676269,3.0,18,2015.75
6,2016-01-01,2.91217041015625,3.0,19,2016.0
6,2016-04-01,3.119845390319824,3.0,20,2016.25
6,2016-07-01,3.988783359527588,3.0,21,2016.5
6,2016-10-01,3.800261497497559,3.0,22,2016.75
6,2017-01-01,3.675489902496338,3.0,23,2017.0
6,2017-04-01,4.996974468231201,3.0,24,2017.25
6,2017-07-01,4.392058372497559,3.0,25,2017.5
6,2017-10-01,5.606725215911865,3.0,26,2017.75
6,2018-01-01,5.689496994018555,3.0,27,2018.0
6,2018-04-01,3.22110652923584,3.0,28,2018.25
6,2018-07-01,3.376108169555664,3.0,29,2018.5
6,2018-10-01,3.9872231483459473,3.0,30,2018.75
6,2019-01-01,7.648675918579102,3.0,31,2019.0
6,2019-04-01,9.699913024902344,3.0,32,2019.25
6,2019-07-01,6.983254432678223,3.0,33,2019.5
6,2019-10-01,6.210278511047363,3.0,34,2019.75
9,2012-01-01,7.433685779571533,0.0,3,2012.0
9,2012-04-01,9.087225914001465,0.0,4,2012.25
9,2012-07-01,4.267895221710205,0.0,5,2012.5
9,2012-10-01,3.220642328262329,0.0,6,2012.75
9,2013-01-01,4.56096887588501,0.0,7,2013.0
9,2013-04-01,4.686576843261719,0.0,8,2013.25
9,2013-07-01,4.281164169311523,0.0,9,2013.5
9,2013-10-01,3.106024265289306,0.0,10,2013.75
9,2014-01-01,2.458209753036499,0.0,11,2014.0
9,2014-04-01,3.1405491828918457,0.0,12,2014.25
9,2014-07-01,3.775385856628418,0.0,13,2014.5
9,2014-10-01,4.722464561462402,0.0,14,2014.75
9,2015-01-01,4.284172058105469,0.0,15,2015.0
9,2015-04-01,6.440710067749023,0.0,16,2015.25
9,2015-07-01,8.076706886291504,0.0,17,2015.5
9,2015-10-01,3.376296043395996,0.0,18,2015.75
9,2016-01-01,2.5500411987304688,0.0,19,2016.0
9,2016-04-01,3.76263427734375,0.0,20,2016.25
9,2016-07-01,4.60508394241333,0.0,21,2016.5
9,2016-10-01,5.617424011230469,0.0,22,2016.75
9,2017-01-01,3.817841291427612,0.0,23,2017.0
9,2017-04-01,4.622014045715332,0.0,24,2017.25
9,2017-07-01,6.162977695465088,0.0,25,2017.5
9,2017-10-01,5.791697025299072,0.0,26,2017.75
9,2018-01-01,6.85346794128418,0.0,27,2018.0
9,2018-04-01,6.3168721199035645,0.0,28,2018.25
9,2018-07-01,5.742743968963623,0.0,29,2018.5
9,2018-10-01,5.648413181304932,0.0,30,2018.75
9,2019-01-01,6.490140914916992,0.0,31,2019.0
9,2019-04-01,10.080134391784668,0.0,32,2019.25
9,2019-07-01,11.42475700378418,0.0,33,2019.5
9,2019-10-01,8.000582695007324,0.0,34,2019.75
9,2012-01-01,7.466140747070312,1.0,3,2012.0
9,2012-04-01,9.521052360534668,1.0,4,2012.25
9,2012-07-01,4.331645011901856,1.0,5,2012.5
9,2012-10-01,3.2270753383636475,1.0,6,2012.75
9,2013-01-01,4.93713903427124,1.0,7,2013.0
9,2013-04-01,4.556890487670898,1.0,8,2013.25
9,2013-07-01,4.57502031326294,1.0,9,2013.5
9,2013-10-01,3.2507152557373047,1.0,10,2013.75
9,2014-01-01,2.636881351470948,1.0,11,2014.0
9,2014-04-01,3.273310661315918,1.0,12,2014.25
9,2014-07-01,3.850892782211304,1.0,13,2014.5
